,#,Name,Type 1,Type 2,total,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation
788,712,Bergmite,Ice,,580,304,55,69,85,32,35,28,6
789,713,Avalugg,Ice,,1000,514,95,117,184,44,46,28,6
790,714,Noibat,Flying,Dragon,435,245,40,30,35,45,40,55,6
791,715,Noivern,Flying,Dragon,947,535,85,70,80,97,80,123,6
792,716,Xerneas,Fairy,,1261,680,126,131,95,131,98,99,6
793,717,Yveltal,Dark,Flying,1261,680,126,131,95,131,98,99,6
794,718,Zygarde50% Forme,Dragon,Ground,1105,600,108,100,121,81,95,95,6
795,719,Diancie,Rock,Fairy,1150,600,50,100,150,100,150,50,6
796,719,DiancieMega Diancie,Rock,Fairy,1290,700,50,160,110,160,110,110,6
797,720,HoopaHoopa Confined,Psychic,Ghost,1130,600,80,110,60,150,130,70,6
798,720,HoopaHoopa Unbound,Psychic,Dark,1280,680,80,160,60,170,130,80,6
799,721,Volcanion,Fire,Water,1130,600,80,110,120,130,90,70,6
